society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,EA015code,EA015code_label,focal_year,sub_case,comment
Ah5,Margi,xd332,marg1265,Marghi Central,Afro-Asiatic,EA015,2,"Segmented, no exogamy",1930,,
Ah6,Gure,xd333,gbir1241,Gbiri-Niragu,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1920,,
Ah8,Bafute,xd335,vute1244,Vute,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1910,,
Ah9,Anaguta,xd336,igut1238,Iguta,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1920,,
Ai10,Otoro,xd338,otor1240,Otoro,Heibanic,EA015,2,"Segmented, no exogamy",1940,Nuba Hills,
Ai12,Fali,xd340,sout2782,South Fali,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1950,,
Ai15,Mundang,xd343,mund1325,Mundang,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1900,,
Ai17,Gisiga,xd345,sout3051,South Giziga,Afro-Asiatic,EA015,2,"Segmented, no exogamy",1930,,
Ai18,Kotoko,xd346,lagw1237,Lagwan,Afro-Asiatic,EA015,2,"Segmented, no exogamy",1880,,
Ai2,Nyaro,xd348,kooo1244,Ko,Heibanic,EA015,2,"Segmented, no exogamy",1940,,
Ai28,Popoi,xd357,popo1291,Popoi,Central Sudanic,EA015,2,"Segmented, no exogamy",1910,,
Ai37,Koalib,xd367,koal1240,Koalib-Rere,Heibanic,EA015,2,"Segmented, no exogamy",1940,,
Ai40,Moro,xd371,moro1285,Moro,Heibanic,EA015,2,"Segmented, no exogamy",1940,,
Ai41,Tira,xd372,tira1254,Tira,Heibanic,EA015,2,"Segmented, no exogamy",1930,,
Ai6,Shilluk,xd380,shil1265,Shilluk,Nilotic,EA015,2,"Segmented, no exogamy",1900,Shilluk Kingdom,
Ai8,Dilling,xd382,dill1242,Dilling,Nubian,EA015,2,"Segmented, no exogamy",1930,,
Aj1,Teso,xd384,teso1249,Teso,Nilotic,EA015,2,"Segmented, no exogamy",1950,,
Aj11,Dinka,xd386,sout2832,Southwestern Dinka,Nilotic,EA015,2,"Segmented, no exogamy",1900,,
Aj12,Lotuko,xd387,otuh1238,Otuho,Nilotic,EA015,2,"Segmented, no exogamy",1920,,
Ca1,Konso,xd415,kons1243,Konso,Afro-Asiatic,EA015,2,"Segmented, no exogamy",1930,Town of Buso,
Ca13,Macha,xd419,west2721,West Central Oromo,Afro-Asiatic,EA015,2,"Segmented, no exogamy",1950,with special reference to the eastern Macha,
Ca42,Shako,xd451,shek1245,Sheko,Dizoid,EA015,2,"Segmented, no exogamy",1950,,
Cb19,Kanuri,xd468,cent2050,Central Kanuri,Saharan,EA015,2,"Segmented, no exogamy",1870,,
Cb20,Zerma,xd470,zarm1239,Zarma-Kaado,Songhay,EA015,2,"Segmented, no exogamy",1920,,
Cb22,Liptako,xd472,west2454,Western Niger Fulfulde,Atlantic-Congo,EA015,2,"Segmented, no exogamy",1920,,
Cb26,Zazzagawa Hausa,xd476,araw1280,Arawa,Afro-Asiatic,EA015,2,"Segmented, no exogamy",1950,Zazzagawa of Zaria,
Cb27,Bachama,xd477,baca1246,Bacama,Afro-Asiatic,EA015,2,"Segmented, no exogamy",1920,,
Cb6,Tera,xd483,tera1251,Tera,Afro-Asiatic,EA015,2,"Segmented, no exogamy",1920,,"Formerly 'segmented communities, no exogamy' (code ""2"")"
Cb9,Hausa Kanawa,xd486,kano1249,Kano,Afro-Asiatic,EA015,2,"Segmented, no exogamy",1940,"Hausa, with special reference to the Kanawa",
Cc15,Drawa,xd493,susi1238,Susiua,Afro-Asiatic,EA015,2,"Segmented, no exogamy",1920,,
Cc18,Kunta,xd496,hass1238,Hassaniyya,Afro-Asiatic,EA015,2,"Segmented, no exogamy",1910,,
Cc4,Mzab,xd501,tumz1238,Tumzabt,Afro-Asiatic,EA015,2,"Segmented, no exogamy",1920,,
Cc7,Barabish,xd504,hass1238,Hassaniyya,Afro-Asiatic,EA015,2,"Segmented, no exogamy",1950,Timbuctoo,
Cd12,Algerians,xd510,algi1247,Algiers,Afro-Asiatic,EA015,2,"Segmented, no exogamy",1870,,
Cd21,Tunisians,xd520,tuni1260,Tunis (Tunisian Arabic),Afro-Asiatic,EA015,2,"Segmented, no exogamy",1930,,
Cd4,Kabyle,xd522,kaby1243,Kabyle,Afro-Asiatic,EA015,2,"Segmented, no exogamy",1890,,
Cd5,Shluh,xd523,susi1238,Susiua,Afro-Asiatic,EA015,2,"Segmented, no exogamy",1920,with special reference to those of the Grand Atlas Mountains,
Ch1,Serbs,xd546,serb1264,Serbian,Indo-European,EA015,2,"Segmented, no exogamy",1950,with special reference to the village of Orasac,
Cj10,Madan,xd587,meso1252,Gilit Mesopotamian Arabic,Afro-Asiatic,EA015,2,"Segmented, no exogamy",1950,with special reference to the village of ech-Chibayish,
Cj8,Druze,xd594,sunn1238,Sunni Beiruti Arabic,Afro-Asiatic,EA015,2,"Segmented, no exogamy",1930,with special reference to those of Mount Carmel in Israel,
Ea13,Punjabi,xd600,west2386,Western Panjabi,Indo-European,EA015,2,"Segmented, no exogamy",1950,Mohla Village,
Ea4,Kohistani,xd603,indu1241,Indus Kohistani,Indo-European,EA015,2,"Segmented, no exogamy",1950,,
Eb2,Tu,xd610,tuuu1240,Tu,Mongolic,EA015,2,"Segmented, no exogamy",1920,,
Ec1,Nivkh,xd617,gily1242,Nivkh,,EA015,2,"Segmented, no exogamy",1920,Sakhalin Island,
Ed10,Shantung,xd639,mand1415,Mandarin Chinese,Sino-Tibetan,EA015,2,"Segmented, no exogamy",1930,with special reference to the village of Taitou,
Ed4,Miao,xd647,horn1235,Horned Miao,Hmong-Mien,EA015,2,"Segmented, no exogamy",1940,with special reference to the Magpie (Yachio) Miao,
