uuid,offense_present
137e48c8-5ce5-4a54-965d-9cb9a7824784,0
137e7375-6205-4340-bcfb-fc8b9758451c,0
13887ae6-51d6-449c-bb3a-cd3c2481db67,0
1390ed40-ffae-4296-a35d-2687391be554,0
139ec165-ca61-4276-ae38-09bb6ab5dbd3,0
13a50fc5-aba3-4dbf-98a2-139d60e5e5d7,0
13b04737-4b42-4e71-88d6-6a720bbe15b1,0
13bb4dbd-f751-49c0-a57a-cf72a3d2a955,0
13c0f160-c72c-458d-9f95-9e08438d7212,0
13d7a538-30d5-4648-b326-5afe71bb6a94,0
13e78516-e472-4e28-88ce-2be32efb2aee,0
13f893ea-e5db-493d-90df-9a5c4e498d50,0
1403c78a-d652-4c3c-8187-3ef376c6e42a,0
140a09ac-d10d-460f-8cd4-d5b7418104d8,0
140f53f5-31b2-4c0b-8670-645589be4435,0
1411dca3-5219-4297-8d05-5d4ba10ca20c,0
141498ab-d8a7-4e7e-9f2b-7cdf4a4b11a6,0
1433c6a7-6764-41ce-8cc2-6b22c1b68c83,0
14343a66-667c-4370-9994-ab1696bb4381,0
14791097-a09f-4370-8c8c-fc8a2e41a6fe,0
1488cafc-084d-41bf-9c2e-6b1681d5e843,0
14897bf5-8858-4552-a8af-e654b3fbf156,0
148b0c71-7e74-4f6b-8498-184dcfdb293b,0
149b4f2e-5485-442e-a11e-1b25126e03f2,0
14ab8790-7479-422d-81a2-26b439f9bbb9,0
14b29f15-122c-48d4-8808-3be0166ec3ab,0
14c76392-abe0-4048-9fc4-2caac9753afd,0
14d5625a-c8b6-4858-8869-8a40f0b62e77,0
14d78774-09fd-4ff2-b0ba-74abc4916074,0
14daf9cc-7ae5-4521-ac5a-06b00dccf10a,0
14dd5754-1724-47ab-b224-6e3646a018a9,0
14f3c840-242b-4cad-9f61-2b691b5ae89d,0
15000a01-ff48-47c3-af8d-e1f6e9eeb3f5,0
15000cac-4183-4458-b9b9-34cded53cb87,0
151956f4-49b5-44d5-85b9-b832cc14a5d1,0
1521adba-a9d0-43d8-a4a5-31420b10602f,0
15274815-963a-4a1f-8ead-3777c0d0ae08,0
15344c5a-44e8-42b8-8937-c8f1cd1c4cb0,0
1539bf2b-1fab-4d85-94e1-1fdecfb2aa22,0
153d1fdf-b34e-448c-a78e-017331aed29a,0
1543bbba-09dd-46ac-a0fb-ee5290449aa8,0
154d3470-4856-4973-8dc6-6cadbf2f822d,0
156f92a0-ea3a-40c5-970f-606a64da7ad6,0
158b68c7-8754-437a-9c76-815ef99f7f67,0
1597b3da-8e7d-4d46-99fe-5d38c0b456f9,0
15a778db-99ae-4c61-a5d8-0d2d88b607d8,0
15e78af3-4769-43ca-90c4-1af5e7349e4e,0
15ecc4f2-3de3-4d79-9cb8-171cb8f9eb51,0
15fb86be-d6fa-409b-9245-d3c5739dc7c4,0
15fbe457-6136-42b5-b129-94f73d43220c,0
1619756d-d403-48d7-be5e-79213bf2407f,0
162d3388-c846-44b6-8fca-a19f51526d71,0
1635e86a-ac49-49a7-93f2-020ecadf60d3,0
1643bc63-5595-4f68-bf67-2d4bd7aba74f,0
